specimenID,population,stage,sex,morph,morph_sex,tissue,cohort,seeds,food_regime,plate,row,strip,well,rna_conc_ngul,A260_280,core_sample_number,kallisto_name,seq_date,read_filename,degraded,note,girth,wingCS,wingPC1,wingPC2,wingPC3,wingPC4,txCS,txPC1,wingpadCS,wingpadPC1,wingpadPC2,wingpadPC3,wingpadPC4
FC349_n3_dt,KL15,adult,m,LW,LWm,thorax,15,7,low,2,B,5,B5,110.4,2.15,S80,B5_S80,180824,180824/B5_S80_L002_R1_001.fastq.gz,,,3.67527673,11.8216629,-1.41E-01,0.02344099,-0.0174858,0.0127435,3.66945688,-0.0105831,NA,NA,NA,NA,NA
FC349_n3_te,KL15,adult,m,LW,LWm,gonad,15,7,low,2,B,6,B6,2.38,2.25,S88,B6_S88,180824,180824/B6_S88_L002_R1_001.fastq.gz,,,3.67527673,11.8216629,-1.41E-01,0.02344099,-0.0174858,0.0127435,3.66945688,-0.0105831,NA,NA,NA,NA,NA
FC352_n12_dt,AC15,adult,f,SW,SWf,thorax,12,20,high,2,B,7,B7,369.9,2.13,S96,B7_S96,180824,180824/B7_S96_L002_R1_001.fastq.gz,,,4.64431774,10.1487618,0.07949437,-0.0336859,0.00038435,-0.0021153,4.29069973,0.01277842,NA,NA,NA,NA,NA
FC352_n12_ov,AC15,adult,f,SW,SWf,gonad,12,20,high,2,B,8,B8,2.21,41.9,S104,B8_S104,180824,180824/B8_S104_L002_R1_001.fastq.gz,,,4.64431774,10.1487618,0.07949437,-0.0336859,0.00038435,-0.0021153,4.29069973,0.01277842,NA,NA,NA,NA,NA
FC356_n12_dt,AC15,adult,f,SW,SWf,thorax,20,10,low,2,B,9,B9,19.5,2.05,S112,B9_S112,180824,180824/B9_S112_L002_R1_001.fastq.gz,,,4.45332576,9.46174801,0.09863041,0.00436998,-0.019695,0.05415891,4.06363598,0.01508118,NA,NA,NA,NA,NA
FC367_n07_dt,PK13,adult,f,SW,SWf,thorax,18,8,low,2,C,1,C1,347.5,2.2,S49,C1_S49,180824,180824/C1_S49_L002_R1_001.fastq.gz,,,4.21612354,8.64676902,0.20189041,0.02106704,-0.0735412,-0.0287326,3.96036331,0.02000234,NA,NA,NA,NA,NA
FC371_n02_ab,PK15,L5,m,NA,NA,abdomen,5,10,high,2,C,10,C10,208.5,2.34,S121,C10_S121,180824,180824/C10_S121_L002_R1_001.fastq.gz,,,3.04217125,NA,NA,NA,NA,NA,2.75544851,0.00858762,3.206237,0.02343892,8.15E-02,-0.0430397,-0.0513855
FC372_n04_dt,PK15,adult,m,SW,SWm,thorax,10,10,low,2,C,11,C11,196.5,2.22,S129,C11_S129,180824,180824/C11_S129_L002_R1_001.fastq.gz,,,3.45086948,7.79031085,0.17304794,0.03245344,0.0169266,-0.0311076,3.58961871,0.06064349,NA,NA,NA,NA,NA
FC372_n04_te,PK15,adult,m,SW,SWm,gonad,10,10,low,2,C,12,C12,82.3,2.29,S137,C12_S137,180824,180824/C12_S137_L002_R1_001.fastq.gz,,,3.45086948,7.79031085,0.17304794,0.03245344,0.0169266,-0.0311076,3.58961871,0.06064349,NA,NA,NA,NA,NA
FC367_n07_ov,PK13,adult,f,SW,SWf,gonad,18,8,low,2,C,2,C2,134.9,2.19,S57,C2_S57,180824,180824/C2_S57_L002_R1_001.fastq.gz,,,4.21612354,8.64676902,0.20189041,0.02106704,-0.0735412,-0.0287326,3.96036331,0.02000234,NA,NA,NA,NA,NA
